,Stat,P-Value,Mean (Class 0),Mean (Class 1),Chi2 Stat,Proportion (Class 0),Proportion (Class 1)
Positive_bronki_test,87293160.0,1.469610037064528e-05,0.019119878603945373,0.028975741239892182,,,
procedure_K_aggregate,85885606.0,2.3938806322046004e-05,2.0813690777271963,2.942048517520216,,,
ICD_W,87799676.0,0.00010684087121850253,0.0015848929354240432,0.004043126684636119,,,
procedure_4_aggregate,88601802.0,0.00011479818305772361,0.16209745405496542,0.07243935309973046,,,
procedure_I_aggregate,89452041.5,0.00034270837855681984,1.6148035744393863,1.1746967654986522,,,
ICD_M_aggregate,90298472.5,0.000353595907986693,3.308919237902546,2.594676549865229,,,
ICD_U_aggregate,87541042.0,0.00037567892296961735,0.029539706626201315,0.038578167115902964,,,
procedure_B_aggregate,88593390.5,0.00047783332652764237,0.03277693474962064,0.018025606469002694,,,
ICD_W_aggregate,87190105.5,0.0006034058608635023,0.04242117686730737,0.051381401617250674,,,
LAKTAT BLODGASS VENØST_average,88422123.0,0.0006228011346631226,0.017864007514993854,0.010455694070080864,,,
procedure_Q,88615094.0,0.0006629914839629783,0.024785027819929185,0.018025606469002694,,,
procedure_2,87962666.0,0.0010203911809844133,6.744225257123588e-05,0.0006738544474393531,,,
ICD_Q,88449669.5,0.0010730238440882854,0.012780306862249199,0.00774932614555256,,,
procedure_U,87613351.5,0.0011114678505941098,0.009644242117686731,0.014487870619946091,,,
PH,88671386.0,0.001127274120110212,0.20492120496824565,0.15018222147349505,,,
procedure_A,88583457.5,0.0012613864901442552,0.02977575451020064,0.018194070080862535,,,
procedure_T,87651396.0,0.0016861443302171,0.008430281571404486,0.013477088948787063,,,
procedure_L,88312928.5,0.0018573187647902528,0.00900354071825999,0.004380053908355795,,,
procedure_H_aggregate,88580664.0,0.0020215291461093566,0.04130837969988198,0.02628032345013477,,,
ICD_L,88696176.5,0.002808841351225713,0.039318833249030516,0.03099730458221024,,,
sepsis,87743571.5,0.0028113573760507183,0.0048221210588433655,0.007917789757412398,,,
ICD_S_aggregate,86254079.0,0.0028365998569720263,0.9551846231664137,0.9075134770889488,,,
ICD_T,87452418.0,0.003808081747193096,0.02508851795649975,0.032513477088948785,,,
pneumonia,87522314.5,0.004248283097941105,0.018546619457089866,0.024090296495956873,,,
ICD_H_aggregate,86422913.5,0.004954625859284079,1.953667172483561,1.9883760107816713,,,
LAKTAT_average,88347935.0,0.009492872293577153,0.015885666753068347,0.01136137316561845,,,
LAKTAT BLODGASS,88323462.0,0.009926726518562285,0.01832799415500477,0.013569743935309972,,,
procedure_Y_aggregate,88102112.0,0.015940804248609813,0.0015174506828528073,0.0,,,
procedure_N_aggregate,89444905.0,0.016097341805435362,1.1414938458944528,0.9733827493261455,,,
ICD_G_aggregate,86749262.5,0.018912948519713653,1.5591637160681167,1.4278975741239892,,,
procedure_6_aggregate,87906471.5,0.023184950662345015,0.004855842185128983,0.006233153638814016,,,
procedure_5,88001212.5,0.025414022538227637,0.0,0.00016846361185983828,,,
procedure_X,87971567.5,0.02542722256533641,0.0001686056314280897,0.0008423180592991914,,,
Positive_ear_test,88253733.0,0.03279185027354361,0.012409374473107401,0.008254716981132075,,,
procedure_M_aggregate,88577045.0,0.03481765569395891,0.37356263699207554,0.2929582210242588,,,
ICD_U,87897557.5,0.03767811542401563,0.0018546619457089867,0.003200808625336927,,,
LAKTAT PNA_average,87785714.5,0.03792048948039781,0.010418984994098799,0.011455525606469003,,,
LAKTAT,88113985.5,0.03855685648993637,0.0019996627887371443,0.0012466307277628032,,,
PH PNA_average,87787742.0,0.03999197743068937,0.055837632776934855,0.07513055929919137,,,
PO2 PNA_average,87788501.0,0.04065774251199606,0.07255774742876414,0.09417115902964962,,,
procedure_N,87611852.5,0.0532730171901935,0.03925139099645928,0.04969676549865229,,,
ICD_O_aggregate,88531234.0,0.054347285224936745,0.38034058337548476,0.34754043126684636,,,
Positive_anus_test,87701322.0,0.05786967646250166,0.019355926487944698,0.02324797843665768,,,
explicitsepsis,87924205.0,0.07127588213792732,0.0015174506828528073,0.0026954177897574125,,,
ICD_B,87650774.0,0.0745022238878583,0.028730399595346484,0.032681940700808626,,,
ICD_L_aggregate,87064425.5,0.07588444291364484,1.6059011970999832,1.4142520215633423,,,
procedure_L_aggregate,88697555.0,0.07819133792763425,0.3219693137750801,0.301044474393531,,,
procedure_B,88060560.0,0.08307750814225415,0.0005058168942842691,0.0,,,
procedure_E,88146770.0,0.08808939207675169,0.004687236553700893,0.003200808625336927,,,
ICD_P,87817501.0,0.09436418791229256,0.013960546282245826,0.017014824797843667,,,
procedure_E_aggregate,88474772.0,0.11289011634082372,0.10237733940313606,0.09046495956873316,,,
procedure_Y,88051656.0,0.12112615677947058,0.0008430281571404484,0.0,,,
ICD_V_aggregate,88190204.0,0.12354072362021452,0.01834429269937616,0.02644878706199461,,,
ppid,89122658.0,0.12564669459657068,18206.21025122239,17977.680592991914,,,
ICD_X,87965671.5,0.12875589714260807,0.0006069802731411229,0.0011792452830188679,,,
BILIRUBIN KONJUGERT,88093271.0,0.13892995109233436,0.048187489462148035,0.02341644204851752,,,
LAKTAT BLODGASS VENØST,87947882.0,0.16561759261579934,0.0028595515090204023,0.004750673854447439,,,
BILIRUBIN UKONJUGERT,88072503.0,0.1940392830587837,0.08582026639689766,0.017857142857142856,,,
procedure_F,87711387.5,0.19529044717492594,0.04265722475130669,0.054750673854447436,,,
procedure_C_aggregate,87405751.0,0.19886734002739692,1.0435002529084472,0.9978099730458221,,,
procedure_K,88257767.5,0.20563105976211438,0.03146181082448154,0.028638814016172506,,,
PO2,88004180.0,0.20618354778850345,0.0003203506997133704,0.0017857142857142857,,,
PO2_average,88004180.0,0.20618354778850345,0.0003203506997133704,0.0017857142857142857,,,
procedure_J_aggregate,87288552.5,0.23607070692597942,1.3163378856853818,1.4081873315363882,,,
CRP-HØYSENSITIV_average,87617765.5,0.2654821721488153,1.4640893065367517,2.224602731023469,,,
ICD_Y,87933223.0,0.26898329724714587,0.0034732760074186477,0.004548517520215634,,,
ICD_G,88317845.0,0.2827071964360207,0.05648288652841005,0.05272911051212938,,,
Positive_eye_test,88114345.5,0.2872874511680036,0.006305850615410555,0.00488544474393531,,,
Positive_tunge_test,87942213.0,0.3510812241702028,0.004552352048558422,0.005390835579514825,,,
ICD_X_aggregate,87891930.5,0.3618355912235993,0.027887371438206035,0.04396900269541779,,,
centralnervoussystem,88042777.0,0.3790037807614036,0.0006407013994267408,0.00033692722371967657,,,
ICD_T_aggregate,88505137.0,0.37976528571412604,0.9032878098128477,0.8237870619946092,,,
Positive_melk_test,87892512.0,0.4007442109496363,0.017096611026808296,0.019036388140161724,,,
skinandsofttissueinfection,88207317.0,0.412112542310318,0.036519979767324226,0.034703504043126686,,,
procedure_H,88039803.5,0.4230208254178274,0.0007418647782835946,0.0005053908355795149,,,
procedure_3,88033860.5,0.4380057824949589,0.0003709323891417973,0.00016846361185983828,,,
ICD_V,88033860.5,0.4380057824949589,0.0003709323891417973,0.00016846361185983828,,,
procedure_6,88007148.5,0.4390411205227224,6.744225257123588e-05,0.00016846361185983828,,,
ICD_K,88302554.5,0.44190018413652754,0.1080762097454055,0.10545822102425877,,,
Positive_biopsi_test,88051764.5,0.4633351502519639,0.0018209408194233688,0.0011792452830188679,,,
BILIRUBIN KONJUGERT_average,88124808.5,0.5144208940802919,0.6930146201238765,0.7162511230907457,,,
urinarytractinfection,88195591.0,0.5457448997207798,0.06069802731411229,0.05862533692722372,,,
procedure_D_aggregate,88301488.0,0.5632163501855436,1.0305850615410554,1.077156334231806,,,
ICD_R,87807835.0,0.5946593273371611,0.11849603776766145,0.12432614555256065,,,
procedure_W,87853178.0,0.6107703872755473,0.07941325240263025,0.08237870619946092,,,
TROMBOCYTTER_average,87659558.5,0.6211694732647592,218.80814494768194,222.34584165442283,,,
procedure_3_aggregate,87933641.0,0.634464625540061,0.07853650311920418,0.052055256064690025,,,
BILIRUBIN UKONJUGERT_average,88084285.5,0.647637290804868,0.6280325304250444,0.34199517070979335,,,
procedure_7_aggregate,88027947.0,0.6535782586154095,0.00114651829371101,0.00033692722371967657,,,
procedure_4,88019008.0,0.6546391976637687,3.372112628561794e-05,0.0,,,
procedure_9_aggregate,87989418.5,0.6666511566131361,0.003372112628561794,0.004380053908355795,,,
Positive_faeces_test,88101985.5,0.6676761620977966,0.03550834597875569,0.0330188679245283,,,
intraabdominalinfection,88030930.0,0.6767134862252595,0.0008430281571404484,0.0006738544474393531,,,
lung,87969503.5,0.6791578297041623,0.008632608329118193,0.00876010781671159,,,
ICD_Z,88168371.5,0.7609910384420818,0.21011633788568537,0.2120956873315364,,,
procedure_5_aggregate,88001357.5,0.7954061312906728,0.002798853481706289,0.003200808625336927,,,
Positive_hud_test,88055232.5,0.8180324214567738,0.023166413758219526,0.019878706199460916,,,
Positive_bein_test,88013084.5,0.8420913587293486,0.00013488450514247176,0.00016846361185983828,,,
Positive_blod_test,88019020.5,0.8651673486032568,0.00020232675771370763,0.00016846361185983828,,,
Positive_led_test,88025145.5,0.8739460319538371,0.0036081605125611194,0.002526954177897574,,,
LAKTAT PNA,88013096.0,0.893559098563987,0.00032709492497049397,0.0003537735849056604,,,
PO2 PNA,88013099.0,0.8936669377504577,0.0027044343281065588,0.0026785714285714286,,,
PH PNA,88013102.0,0.8937747788343426,0.0022559433485078405,0.002486522911051213,,,
procedure_Q_aggregate,87957270.5,0.9093148056456916,1.0701062215477997,0.9765835579514824,,,
Positive_annet_test,87997693.5,0.9255723338991142,0.030382734783341765,0.03133423180592992,,,
endocarditis,88019095.5,0.9439790784907232,0.0012139605462822458,0.0011792452830188679,,,
procedure_9,88016040.0,1.0,0.0,0.0,,,
procedure_7,88016040.0,1.0,0.0,0.0,,,
procedure_8,88016040.0,1.0,0.0,0.0,,,
ICD_9_aggregate,88016040.0,1.0,0.0,0.0,,,
procedure_V,88016040.0,1.0,0.0,0.0,,,
ICD_8_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_7_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_6_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_5_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_4_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_3_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_2_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_1_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_0_aggregate,88016040.0,1.0,0.0,0.0,,,
procedure_8_aggregate,88016040.0,1.0,0.0,0.0,,,
procedure_S_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_9,88016040.0,1.0,0.0,0.0,,,
procedure_V_aggregate,88016040.0,1.0,0.0,0.0,,,
ICD_8,88016040.0,1.0,0.0,0.0,,,
ICD_7,88016040.0,1.0,0.0,0.0,,,
ICD_6,88016040.0,1.0,0.0,0.0,,,
ICD_5,88016040.0,1.0,0.0,0.0,,,
ICD_3,88016040.0,1.0,0.0,0.0,,,
ICD_2,88016040.0,1.0,0.0,0.0,,,
ICD_1,88016040.0,1.0,0.0,0.0,,,
ICD_0,88016040.0,1.0,0.0,0.0,,,
procedure_S,88016040.0,1.0,0.0,0.0,,,
ICD_4,88016040.0,1.0,0.0,0.0,,,
